year,month,total_rides_month,average_daily_rides,days_in_month
2001,1,39735242,1281782.0,31
2001,2,37438161,1337077.1785714286,28
2001,3,42290743,1364217.5161290322,31
2001,4,39767127,1325570.9,30
2001,5,42487474,1370563.677419355,31
2001,6,40580968,1352698.9333333333,30
2001,7,40561895,1308448.2258064516,31
2001,8,40661924,1311674.9677419355,31
2001,9,39654637,1321821.2333333334,30
2001,10,43431656,1401021.1612903227,31
2001,11,39950382,1331679.4,30
2001,12,36845548,1188566.064516129,31
2002,1,39382080,1270389.677419355,31
2002,2,37109830,1325351.0714285714,28
2002,3,39283246,1267201.4838709678,31
2002,4,40395495,1346516.5,30
2002,5,41715030,1345646.1290322582,31
2002,6,39815153,1327171.7666666666,30
2002,7,41045109,1324035.7741935484,31
2002,8,40723521,1313661.9677419355,31
2002,9,41841511,1394717.0333333334,30
2002,10,45173631,1457213.9032258065,31
2002,11,39468837,1315627.9,30
2002,12,37747645,1217665.9677419355,31
2003,1,38396870,1238608.7096774194,31
2003,2,36182907,1292246.6785714286,28
2003,3,39513001,1274612.935483871,31
2003,4,39236778,1307892.6,30
2003,5,40580278,1309041.2258064516,31
2003,6,39520693,1317356.4333333333,30
2003,7,40243483,1298176.8709677418,31
2003,8,38765430,1250497.7419354839,31
2003,9,41753157,1391771.9,30
2003,10,44590605,1438406.6129032257,31
2003,11,37050428,1235014.2666666666,30
2003,12,37107125,1197004.0322580645,31
2004,1,36466657,1176343.7741935484,31
2004,2,36587508,1261638.2068965517,29
2004,3,40971002,1321645.2258064516,31
2004,4,39210541,1307018.0333333334,30
2004,5,39240211,1265813.2580645161,31
2004,6,40476650,1349221.6666666667,30
2004,7,39473178,1273328.322580645,31
2004,8,38886461,1254401.9677419355,31
2004,9,42142488,1404749.6,30
2004,10,43039034,1388355.935483871,31
2004,11,39395494,1313183.1333333333,30
2004,12,36857960,1188966.4516129033,31
2005,1,37301758,1203282.5161290322,31
2005,2,37680773,1345741.892857143,28
2005,3,41096128,1325681.5483870967,31
2005,4,41117988,1370599.6,30
2005,5,41570244,1340975.6129032257,31
2005,6,41424100,1380803.3333333333,30
2005,7,40125376,1294366.9677419355,31
2005,8,41814583,1348857.5161290322,31
2005,9,44558280,1485276.0,30
2005,10,44775047,1444356.3548387096,31
2005,11,40600864,1353362.1333333333,30
2005,12,37938556,1223824.3870967743,31
2006,1,38207170,1232489.3548387096,31
2006,2,37411102,1336110.7857142857,28
2006,3,43108569,1390599.0,31
2006,4,39516237,1317207.9,30
2006,5,43414455,1400466.2903225806,31
2006,6,41746408,1391546.9333333333,30
2006,7,40646600,1311180.6451612904,31
2006,8,42096451,1357950.0322580645,31
2006,9,43121523,1437384.1,30
2006,10,44832993,1446225.5806451612,31
2006,11,41248425,1374947.5,30
2006,12,38252606,1233955.0322580645,31
2007,1,39750914,1282287.5483870967,31
2007,2,35687152,1274541.142857143,28
2007,3,43031232,1388104.2580645161,31
2007,4,40424876,1347495.8666666667,30
2007,5,44209121,1426100.677419355,31
2007,6,42041871,1401395.7,30
2007,7,42295467,1364369.9032258065,31
2007,8,42767971,1379611.9677419355,31
2007,9,43125143,1437504.7666666666,30
2007,10,46999621,1516116.8064516129,31
2007,11,41443661,1381455.3666666667,30
2007,12,37767693,1218312.677419355,31
2008,1,39422856,1271705.0322580645,31
2008,2,39394496,1358430.896551724,29
2008,3,41772326,1347494.3870967743,31
2008,4,44989794,1499659.8,30
2008,5,45602049,1471033.8387096773,31
2008,6,44661979,1488732.6333333333,30
2008,7,46628211,1504135.8387096773,31
2008,8,45552994,1469451.4193548388,31
2008,9,47130092,1571003.0666666667,30
2008,10,50080432,1615497.8064516129,31
2008,11,41963852,1398795.0666666667,30
2008,12,39137389,1262496.4193548388,31
2009,1,40286138,1299552.8387096773,31
2009,2,40077752,1431348.2857142857,28
2009,3,44385821,1431800.677419355,31
2009,4,43355645,1445188.1666666667,30
2009,5,44322317,1429752.1612903227,31
2009,6,43961537,1465384.5666666667,30
2009,7,45321494,1461983.677419355,31
2009,8,43422945,1400740.1612903227,31
2009,9,46128889,1537629.6333333333,30
2009,10,47427633,1529923.6451612904,31
2009,11,42705365,1423512.1666666667,30
2009,12,39846291,1285364.2258064516,31
2010,1,40447316,1304752.1290322582,31
2010,2,39551930,1412568.9285714286,28
2010,3,44475589,1434696.4193548388,31
2010,4,43701717,1456723.9,30
2010,5,43236881,1394738.0967741935,31
2010,6,43875996,1462533.2,30
2010,7,43617508,1407016.3870967743,31
2010,8,44323431,1429788.0967741935,31
2010,9,45828030,1527601.0,30
2010,10,46573038,1502356.064516129,31
2010,11,42753319,1425110.6333333333,30
2010,12,38488303,1241558.1612903227,31
2011,1,40655036,1311452.7741935484,31
2011,2,38651036,1380394.142857143,28
2011,3,46175914,1489545.6129032257,31
2011,4,43566431,1452214.3666666667,30
2011,5,44899796,1448380.5161290322,31
2011,6,45596259,1519875.3,30
2011,7,44030621,1420342.6129032257,31
2011,8,46731962,1507482.6451612904,31
2011,9,47088583,1569619.4333333333,30
2011,10,47993204,1548167.8709677418,31
2011,11,44420120,1480670.6666666667,30
2011,12,42118087,1358647.9677419355,31
2012,1,42441143,1369069.1290322582,31
2012,2,43779888,1509651.3103448276,29
2012,3,47629411,1536432.6129032257,31
2012,4,44470247,1482341.5666666667,30
2012,5,46926557,1513759.9032258065,31
2012,6,45881402,1529380.0666666667,30
2012,7,44375480,1431467.0967741935,31
2012,8,47489564,1531921.4193548388,31
2012,9,46323145,1544104.8333333333,30
2012,10,50562027,1631033.1290322582,31
2012,11,45159186,1505306.2,30
2012,12,40539872,1307737.8064516129,31
2013,1,42569274,1373202.3870967743,31
2013,2,40724338,1454440.642857143,28
2013,3,44161299,1424558.0322580645,31
2013,4,45126104,1504203.4666666666,30
2013,5,46199217,1490297.322580645,31
2013,6,44124037,1470801.2333333334,30
2013,7,44606037,1438904.4193548388,31
2013,8,45197386,1457980.1935483871,31
2013,9,46075420,1535847.3333333333,30
2013,10,48727767,1571863.4516129033,31
2013,11,42331696,1411056.5333333334,30
2013,12,38958197,1256716.0322580645,31
2014,1,38017424,1226368.5161290322,31
