service_date,day_type,bus,rail_boardings,total_rides,calculated_total,day_of_week,day_type_num,month,year,ridership_tier,rolling_avg,rolling_std,anomaly
2001-01-01 00:00:00,U,297192,126455,423647,423647,0,2,1,2001,Low,,,False
2001-01-02 00:00:00,W,780827,501952,1282779,1282779,1,0,1,2001,High,,,False
2001-01-03 00:00:00,W,824923,536432,1361355,1361355,2,0,1,2001,High,,,False
2001-01-04 00:00:00,W,870021,550011,1420032,1420032,3,0,1,2001,High,,,False
2001-01-05 00:00:00,W,890426,557917,1448343,1448343,4,0,1,2001,High,,,False
2001-01-06 00:00:00,A,577401,255356,832757,832757,5,1,1,2001,Medium,,,False
2001-01-07 00:00:00,U,375831,169825,545656,545656,6,2,1,2001,Medium,1044938.4285714285,435971.13073300966,False
2001-01-08 00:00:00,W,985221,590706,1575927,1575927,0,0,1,2001,High,1209549.857142857,375653.28159817297,False
2001-01-09 00:00:00,W,978377,599905,1578282,1578282,1,0,1,2001,High,1251764.5714285714,401002.6265395516,False
2001-01-10 00:00:00,W,984884,602052,1586936,1586936,2,0,1,2001,High,1283990.4285714286,419896.5988521687,False
2001-01-11 00:00:00,W,995561,607503,1603064,1603064,3,0,1,2001,High,1310137.857142857,435199.9044590232,False
2001-01-12 00:00:00,W,1018985,605252,1624237,1624237,4,0,1,2001,High,1335265.5714285714,449357.23296387744,False
2001-01-13 00:00:00,A,591791,270056,861847,861847,5,1,1,2001,Medium,1339421.2857142857,444038.4605315604,False
2001-01-14 00:00:00,U,373091,174842,547933,547933,6,2,1,2001,Medium,1339746.5714285714,443360.38079078787,False
2001-01-15 00:00:00,W,675845,412149,1087994,1087994,0,0,1,2001,High,1270041.857142857,438367.71010094136,False
2001-01-16 00:00:00,W,1024367,622163,1646530,1646530,1,0,1,2001,High,1279791.5714285714,447039.0424966099,False
2001-01-17 00:00:00,W,1018690,620343,1639033,1639033,2,0,1,2001,High,1287234.0,453393.20846552914,False
2001-01-18 00:00:00,W,1006996,618832,1625828,1625828,3,0,1,2001,High,1290486.0,456109.5789946389,False
2001-01-19 00:00:00,W,909964,583851,1493815,1493815,4,0,1,2001,High,1271854.2857142857,442669.67652781255,False
2001-01-20 00:00:00,A,582348,263815,846163,846163,5,1,1,2001,Medium,1269613.7142857143,445123.6926172749,False
2001-01-21 00:00:00,U,378381,172107,550488,550488,6,2,1,2001,Medium,1269978.7142857143,444433.80035265646,False
2001-01-22 00:00:00,W,1005936,598777,1604713,1604713,0,0,1,2001,High,1343795.7142857143,452016.6620733188,False
2001-01-23 00:00:00,W,1019983,610352,1630335,1630335,1,0,1,2001,High,1341482.142857143,450246.8994845787,False
2001-01-24 00:00:00,W,991661,606835,1598496,1598496,2,0,1,2001,High,1335691.142857143,446022.8849477827,False
2001-01-25 00:00:00,W,1004257,609877,1614134,1614134,3,0,1,2001,High,1334020.5714285714,444775.21973496437,False
2001-01-26 00:00:00,W,965324,597039,1562363,1562363,4,0,1,2001,High,1343813.142857143,449608.1109586544,False
2001-01-27 00:00:00,A,590836,268078,858914,858914,5,1,1,2001,Medium,1345634.7142857143,447275.6435427393,False
2001-01-28 00:00:00,U,368819,174434,543253,543253,6,2,1,2001,Medium,1344601.142857143,449422.5272745122,False
2001-01-29 00:00:00,W,953532,587052,1540584,1540584,0,0,1,2001,High,1335439.857142857,443855.6909076902,False
2001-01-30 00:00:00,W,982046,607858,1589904,1589904,1,0,1,2001,High,1329664.0,439621.5374512493,False
2001-01-31 00:00:00,W,999392,610508,1609900,1609900,2,0,1,2001,High,1331293.142857143,440803.35182347434,False
2001-02-01 00:00:00,W,1054608,615268,1669876,1669876,3,0,2,2001,High,1339256.2857142857,447221.2519259771,False
2001-02-02 00:00:00,W,966701,577767,1544468,1544468,4,0,2,2001,High,1336699.857142857,445782.19335546566,False
2001-02-03 00:00:00,A,611703,263612,875315,875315,5,1,2,2001,Medium,1339042.857142857,442886.1435795997,False
2001-02-04 00:00:00,U,404212,178398,582610,582610,6,2,2,2001,Medium,1344665.2857142857,431195.374465263,False
2001-02-05 00:00:00,W,1045944,600588,1646532,1646532,0,0,2,2001,High,1359800.7142857143,440967.2149494091,False
2001-02-06 00:00:00,W,1039393,612435,1651828,1651828,1,0,2,2001,High,1368647.0,446933.4633682441,False
2001-02-07 00:00:00,W,1015059,609022,1624081,1624081,2,0,2,2001,High,1370672.857142857,448239.5032674792,False
2001-02-08 00:00:00,W,1007760,610237,1617997,1617997,3,0,2,2001,High,1363261.5714285714,442864.5644343419,False
2001-02-09 00:00:00,W,970826,593354,1564180,1564180,4,0,2,2001,High,1366077.5714285714,444269.2634693732,False
2001-02-10 00:00:00,A,605404,271313,876717,876717,5,1,2,2001,Medium,1366277.857142857,444011.3844889676,False
2001-02-11 00:00:00,U,405433,178810,584243,584243,6,2,2,2001,Medium,1366511.142857143,443531.1871497612,False
2001-02-12 00:00:00,W,872330,539393,1411723,1411723,0,0,2,2001,High,1332967.0,427409.9220494695,False
2001-02-13 00:00:00,W,1050834,622753,1673587,1673587,1,0,2,2001,High,1336075.4285714286,430185.5141640863,False
2001-02-14 00:00:00,W,1004304,610966,1615270,1615270,2,0,2,2001,High,1334816.7142857143,429214.15955779585,False
2001-02-15 00:00:00,W,1028938,613323,1642261,1642261,3,0,2,2001,High,1338283.0,431971.368116376,False
2001-02-16 00:00:00,W,1033040,601418,1634458,1634458,4,0,2,2001,High,1348322.7142857143,438858.40203293937,False
